Set,No.,Part ID,Part name,Note
1,1,18,18_SCB3-10,
1,2,18,18_SCB3-10,
1,3,15,15_SLBNR6,
1,4,5,05_MBRFA30-2P6,
1,5,13,13_MBGA30-2,
1,6,6,06_MBT4-400,
1,7,7,07_SBARB6200ZZ_30,
1,8,11,11_MBRAC60-2-10,
1,9,17,17_SCB4-10,
1,10,17,17_SCB4-10,
2,1,13,13_MBGA30-2,
2,2,5,05_MBRFA30-2P6,
2,3,6,06_MBT4-400,
2,4,11,11_MBRAC60-2-10,
2,5,14,14_BGPSL6-9-L30-F7,
2,6,18,18_SCB3-10,
2,7,18,18_SCB3-10,
2,8,7,07_SBARB6200ZZ_30,
2,9,10,10_CLBPS10_17_4,
2,10,17,17_SCB4-10,
3,1,5,05_MBRFA30-2P6,
3,2,17,17_SCB4-10,
3,3,18,18_SCB3-10,
3,4,7,07_SBARB6200ZZ_30,
3,5,10,10_CLBPS10_17_4,
3,6,11,11_MBRAC60-2-10,
3,7,13,13_MBGA30-2,
3,8,15,15_SLBNR6,
3,9,14,14_BGPSL6-9-L30-F7,
3,10,6,06_MBT4-400,
