Set,No.,Part ID,Part name,Note
1,1,18,18_SCB3-10,
1,2,18,18_SCB3-10,
1,3,18,18_SCB3-10,
1,4,18,18_SCB3-10,
1,5,18,18_SCB3-10,
1,6,18,18_SCB3-10,
1,7,16,16_SPWF6,
1,8,16,16_SPWF6,
1,9,15,15_SLBNR6,
1,10,4,04_37D-GEARMOTOR-50-70,
2,1,17,17_SCB4-10,
2,2,17,17_SCB4-10,
2,3,17,17_SCB4-10,
2,4,17,17_SCB4-10,
2,5,17,17_SCB4-10,
2,6,17,17_SCB4-10,
2,7,17,17_SCB4-10,
2,8,17,17_SCB4-10,
2,9,17,17_SCB4-10,
2,10,12,12_CLBUS6-9-9.5,
3,1,4,04_37D-GEARMOTOR-50-70,
3,2,5,05_MBRFA30-2P6,
3,3,7,07_SBARB6200ZZ_30,
3,4,8,08_SSFHRT10-75-M4-FC55-G20,
3,5,11,11_MBRAC60-2-10,
3,6,12,12_CLBUS6-9-9.5,
3,7,13,13_MBGA30-2,
3,8,16,16_SPWF6,
3,9,17,17_SCB4-10,
3,10,18,18_SCB3-10,
